"IssueNumber","State","Decision","ExactReason","Title"
"101","OPEN","CLAIM","eligible","OPS: Implement centralized Forge Eligibility Engine"
"2","OPEN","SKIP","missing_pm_ready|missing_forge_ready|forge_done|pm_review","Stabilize local MVP before next feature expansion"
"3","OPEN","SKIP","missing_pm_ready|missing_forge_ready|forge_done|pm_review","Finalize and optimize local MVP"
"4","OPEN","SKIP","missing_pm_ready|missing_forge_ready|forge_done|pm_review","Make Organizor-style UI the main local MVP app"
"5","OPEN","SKIP","missing_pm_ready|missing_forge_ready|forge_done|pm_review","Fix remaining fake/static UI elements in EverythingAI React UI"
"6","OPEN","SKIP","missing_pm_ready|missing_forge_ready|forge_done|pm_review","Phase 5.1 - Identity & Role Foundation Governance Track"
"7","OPEN","SKIP","missing_pm_ready|missing_forge_ready|forge_done|pm_review","Phase 5.2 - Permission Foundation Governance Track"
"8","OPEN","SKIP","missing_pm_ready|missing_forge_ready|forge_done|pm_review","Phase 5.3 - Policy Engine Shadow Governance Track"
"9","OPEN","SKIP","missing_pm_ready|missing_forge_ready|forge_done|pm_review","Phase 5.4 - Risk Classification Foundation Governance Track"
"10","OPEN","SKIP","missing_pm_ready|missing_forge_ready|forge_done|pm_review","Phase 5.5 - Approval Workflow Foundation Governance Track"
"11","OPEN","SKIP","missing_pm_ready|missing_forge_ready|forge_done|pm_review","Phase 5.6 - Escalation Governance Foundation Track"
"12","OPEN","SKIP","missing_pm_ready|missing_forge_ready|forge_done|pm_review","Phase 5.7 - Authorization Decision Layer Governance Track"
"13","OPEN","SKIP","missing_pm_ready|missing_forge_ready|forge_done|pm_review","Phase 5.8 - Controlled Enforcement Activation Governance Track"
"14","CLOSED","SKIP","not_open|missing_pm_ready|missing_forge_ready","Sprint 1: Complete smallest end-to-end local MVP proof path"
"15","CLOSED","SKIP","not_open|missing_pm_ready|missing_forge_ready","Sprint 2: Search & Source Reference Hardening"
"16","CLOSED","SKIP","not_open|missing_pm_ready|missing_forge_ready","Sprint 3: Planning & Execution Recovery Hardening"
"17","CLOSED","SKIP","not_open|missing_pm_ready|missing_forge_ready","Sprint 4: Execution Batch and Plan Approval Workflow"
"18","CLOSED","SKIP","not_open|missing_pm_ready|missing_forge_ready","Sprint 5: MVP Smoke Test, README, and UI/API Flow Validation"
"19","OPEN","SKIP","missing_pm_ready|missing_forge_ready|forge_done|pm_review","Sprint 6: MVP UI Workflow Completion"
"20","CLOSED","SKIP","not_open|missing_pm_ready|missing_forge_ready","Validate watcher test fix on desktop"
"21","OPEN","SKIP","missing_pm_ready|missing_forge_ready|forge_done|pm_review","Future Track: AI Organization Workspace / Managed Knowledge Archive"
"22","OPEN","SKIP","missing_pm_ready|missing_forge_ready|forge_done|pm_review","Phase 6: Controlled UserApp modularization after 88-test MVP baseline"
"23","CLOSED","SKIP","not_open|missing_pm_ready|missing_forge_ready|competing_agent_owner","EAI-TASK-001: Hermes framework smoke test and readiness verification"
"24","OPEN","SKIP","missing_pm_ready|missing_forge_ready|forge_done|pm_review|competing_agent_owner","EAI-TASK-002: Install Hermes framework foundation in EverythingAI"
"25","CLOSED","SKIP","not_open|missing_pm_ready|missing_forge_ready|competing_agent_owner","EAI-TASK-003: Harden Hermes finalization SHA/state/report synchronization"
"26","OPEN","SKIP","missing_pm_ready|missing_forge_ready|forge_done|pm_review|competing_agent_owner","EAI-TASK-004: Implement Hermes worker lifecycle claim/report/state flow"
"27","OPEN","SKIP","missing_pm_ready|missing_forge_ready|forge_done|pm_review|competing_agent_owner","EAI-TASK-005: Finalize worker-generated reports with real commit metadata"
"28","CLOSED","SKIP","not_open|missing_pm_ready|missing_forge_ready|competing_agent_owner","EAI-TASK-006: Run end-to-end Hermes operational readiness drill"
"29","CLOSED","SKIP","not_open|missing_pm_ready|missing_forge_ready","EAI-TASK-007: Validate Admin Agent Connectors readiness gate"
